lat_grid,lon_grid,fire_count,mean_frp,max_frp,mean_bright,mean_risk,high_conf_pct,norm_count,composite_risk,risk_zone
23.5,86.0,15974,2.680100162764492,24.46,314.4964392137223,45.629649231774785,0.11894328283460623,100.0,51.48523783197431,Moderate
12.0,93.5,17,106.57176470588234,1552.82,328.52647058823527,50.25302424847187,5.88235294117647,0.10642293727306873,38.21404180912837,Low
23.0,93.0,760,61.374776315789475,530.13,344.5710263157895,49.4407505997792,7.236842105263158,4.75773131338425,31.211171087896545,Low
24.0,93.0,1079,53.811519925857276,531.02,343.45727525486564,49.73299767424607,11.121408711770158,6.75472643044948,30.981489117609758,Low
25.5,95.0,9,51.52444444444445,96.86,340.03555555555556,50.39976063259309,33.33333333333333,0.056341555026918747,30.662405386677854,Low
23.0,92.5,1392,45.233182471264364,397.0,341.3057974137931,49.353507998265876,11.781609195402298,8.7141605108301,29.99061912344848,Low
20.5,85.0,6131,2.6425672810308267,71.09,314.72330941118906,45.61471322024837,0.048931658783232745,38.381119318893205,29.899357145017056,Low
23.5,93.0,689,44.02750362844703,517.09,343.10381712627,49.49954500207825,11.756168359941945,4.3132590459496685,28.272606385226187,Low
22.5,92.5,1465,34.092600682593854,593.87,341.51828668941977,49.26815831191657,9.556313993174061,9.171153123826217,27.807445416996345,Low
25.0,83.5,4374,5.687832647462278,213.96,332.94988340192043,47.396437593619154,3.0864197530864197,27.38199574308251,27.548511952902512,Low
23.5,94.0,68,48.47558823529412,310.13,340.34455882352944,49.44249357897964,8.823529411764707,0.4256917490922749,27.43348449180298,Low
23.0,92.0,1001,38.492437562437566,565.98,342.27504495504496,48.843996943954465,6.893106893106893,6.2664329535495185,27.201720217325963,Low
23.5,92.0,1393,30.000258435032304,584.55,342.77445082555636,49.36732646758815,7.394113424264178,8.720420683610868,26.700180397236533,Low
24.5,93.0,623,38.29187800963082,504.73,341.3813001605136,49.24710425169219,8.346709470304976,3.9000876424189306,26.622308770598224,Low
27.0,82.5,3590,6.559181058495821,182.76,330.09728412256266,47.473267602313264,8.300835654596101,22.47402028295981,26.542575949777277,Low
25.0,90.0,121,41.58652892561984,199.46,343.2359504132232,49.59587628159853,9.090909090909092,0.7574809064730187,26.337183734903558,Low
22.0,92.5,2006,20.425024925224328,340.13,337.9211415752742,48.59572020806514,7.32801595214357,12.55790659822211,25.969673484742888,Low
26.0,94.5,829,29.190627261761158,405.95,344.37289505428225,49.600109798784075,11.097708082026537,5.189683235257293,25.764314894193035,Low
23.5,92.5,595,31.8218487394958,364.07,340.4846554621849,49.200565714132644,9.411764705882353,3.724802804557406,25.43696533413612,Low
25.5,94.5,584,33.07287671232877,516.76,336.13142123287673,48.69915813282141,8.561643835616438,3.6559409039689497,25.387135555496943,Low
24.0,94.0,316,34.18870253164557,293.77,341.42287974683546,49.246915467709,9.81012658227848,1.9782145987229247,25.3258983393177,Low
27.5,92.0,4,42.625,110.46,342.4375,49.39915975364539,0.0,0.025040691123075,25.29777468396252,Low
22.5,77.5,3611,4.427250069232899,69.48,329.6358875657712,46.648101290611635,2.243145942952091,22.605483911355954,25.29391801385079,Low
25.0,93.5,995,26.660773869346734,596.03,340.3088542713568,48.96579754790527,8.743718592964825,6.228871916864906,25.19585277937662,Low
31.5,75.0,2926,7.135406698564593,252.17,342.45604579630896,47.38904848187425,6.390977443609022,18.31726555652936,24.975387801263604,Low
